"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"121","3/22/2025","Robbery","Inside",NA,"Male","20","Unknown","Hispanic or Latino","3700 FLEET ST","Southeast","Brewers Hill",39.285576,-76.566257,"Convenience store","7:08:00",""
"122","3/21/2025","Robbery","Outside","Blunt object","Male","13","Black or African American","Not Hispanic or Latino","3900 EDMONDSON AVE","Southwest","Edmondson Village",39.293928,-76.681281,"Street","2:45:00",""
"123","3/22/2025","Robbery","Inside","Personal weapons","Male","40","Black or African American","Not Hispanic or Latino","3800 E LOMBARD ST","Southeast","Baltimore Highlands",39.291551,-76.564909,"Office building","2:10:00",""
"124","3/22/2025","Robbery","Inside","Personal weapons","Female","25","White","Hispanic or Latino","6400 MOYER AVE","Northeast","Westfield",39.357493,-76.546015,"Other/residential","11:15:00",""
"125","3/22/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"1400 W PATAPSCO AVE","Southern","Cherry Hill",39.248793,-76.639162,"Specialty store","11:40:00",""
"126","3/22/2025","Robbery","Inside","Personal weapons","Female","42","Asian","Not Hispanic or Latino","1400 W PATAPSCO AVE","Southern","Cherry Hill",39.248793,-76.639162,"Specialty store","11:40:00",""
"127","3/19/2025","Robbery","Outside","Personal weapons","Female","25","Black or African American","Unknown","1200 W PRATT ST","Southern","Washington Village/Pigtown",39.285551,-76.637347,"Street","6:54:00",""
"128","3/19/2025","Robbery","Inside","Motor vehicle vessel","Female","40","Black or African American","Not Hispanic or Latino","4100 CHATHAM RD","Northwest","Dorchester",39.330492,-76.68721,"Other/residential","9:40:00",""
"129","3/19/2025","Robbery","Outside","Personal weapons","Male","23","White","Unknown","7000 MARIETTA AVE","Northeast","Hamilton Hills",39.370006,-76.55977,"Street","10:40:00",""
"130","3/19/2025","Robbery","Outside","Personal weapons","Female","43","White","Not Hispanic or Latino","2500 GREENMOUNT AVE","Northern","Harwood",39.318181,-76.609534,"Gas station","11:00:00",""
"131","3/19/2025","Robbery","Inside","Blunt object","Female","20","Black or African American","Not Hispanic or Latino","4600 MANNASOTA AVE","Northeast","Frankford",39.330657,-76.55784,"Other/residential","8:45:00",""
"132","3/19/2025","Robbery","Outside","Knife/cutting instrument","Male","25","Black or African American","Not Hispanic or Latino","400 S GILMOR ST","Southwest","Mount Clare",39.282739,-76.641972,"Street","4:00:00",""
"133","3/20/2025","Robbery - carjacking","Inside","Firearm","Female","39","Black or African American","Not Hispanic or Latino","6800 STURBRIDGE DR","Northeast","Hamilton Hills",39.368757,-76.563066,"Other/residential","2:30:00",""
"134","3/20/2025","Robbery","Outside","Personal weapons","Female","53","Black or African American","Not Hispanic or Latino","5900 AYLESHIRE RD","Northeast","Loch Raven",39.362987,-76.585215,"Street","2:45:00",""
"135","3/18/2025","Robbery","Inside","Personal weapons","Female","26","Black or African American","Not Hispanic or Latino","5600 PURDUE AVE","Northeast","Woodbourne Heights",39.358281,-76.593583,"Other/residential","6:50:00",""
"136","3/19/2025","Robbery","Outside","Handgun","Male","29","Black or African American","Not Hispanic or Latino","1900 E OLIVER ST","Eastern","Broadway East",39.307701,-76.590712,"Street","3:30:00",""
"137","3/18/2025","Robbery","Outside","Knife/cutting instrument","Male","26","Black or African American","Not Hispanic or Latino","2900 N EDGEWOOD ST","Northwest","Hanlon-Longwood",39.320331,-76.677111,"Street","12:58:00",""
"138","3/18/2025","Robbery","Inside",NA,"Female","17","Black or African American","Unknown","2200 BRUNT ST","Western","Druid Heights",39.308049,-76.639063,"Other/residential","6:00:00",""
"139","3/22/2025","Robbery","Outside","Personal weapons","Male","15","Black or African American","Unknown","5700 CEDONIA AVE","Northeast","Frankford",39.337339,-76.532788,"Street","6:57:00",""
"140","3/22/2025","Robbery","Outside","Handgun","Male","14","Black or African American","Not Hispanic or Latino","4300 HAMILTON AVE","Northeast","Frankford",39.341192,-76.544438,"Street","7:50:00",""
"141","3/22/2025","Robbery","Inside","Personal weapons","Male","28","Black or African American","Not Hispanic or Latino","3800 E LOMBARD ST","Southeast","Baltimore Highlands",39.291551,-76.564909,"Office building","2:10:00",""
"142","3/20/2025","Robbery - commercial","Inside","Other",NA,"None reported","None reported",NA,"2000 HARFORD RD","Eastern","East Baltimore Midway",39.313487,-76.598787,"Convenience store","1:28:00",""
"143","3/20/2025","Robbery","Inside","Other","Female","34","Black or African American","Not Hispanic or Latino","2000 HARFORD RD","Eastern","East Baltimore Midway",39.313487,-76.598787,"Convenience store","1:28:00",""
"144","3/19/2025","Robbery - commercial","Outside","Personal weapons",NA,"None reported","None reported",NA,"7000 MARIETTA AVE","Northeast","Hamilton Hills",39.370006,-76.55977,"Street","10:40:00",""
"145","3/18/2025","Robbery","Outside","Handgun","Female","27","Black or African American","Unknown","800 MCCULLOH ST","Central","Seton Hill",39.298634,-76.623044,"Street","4:00:00",""
