"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"697","4/25/2025","Shoplifting","Outside","None reported","None reported","None reported","None reported","None Reported","6100 HOLABIRD AVE","Southeast","Broening Manor",39.27216,-76.543241,"Gas station","2:13","p.m."
"698","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","400 E PRATT ST","Central","Inner Harbor",39.286706,-76.609924,"Drug store / med  bldg","3:00","p.m."
"699","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","5600 THE ALAMEDA","Northeast","Glen Oaks",39.358348,-76.594984,"Convenience store","3:14","p.m."
"700","4/25/2025","Larceny","Inside","None reported","Male","33","White","Unknown","500 E FORT AVE","Southern","Riverside",39.272995,-76.606295,"Other/residential","3:18","p.m."
"701","4/25/2025","Larceny","Inside","None reported","Female","53","Black or African American","Not Hispanic or Latino","3600 LABYRINTH RD","Northwest","Fallstaff",39.362634,-76.702747,"Other/residential","3:30","p.m."
"702","4/25/2025","Larceny","Inside","None reported","Female","24","Unknown","Hispanic or Latino","600 N CAROLINE ST","Southeast","Dunbar-Broadway",39.29722,-76.597455,"Drug store / med  bldg","4:00","p.m."
"703","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","5000 YORK RD","Northern","Winston-Govans",39.3497,-76.609613,"Office building","5:32","p.m."
"704","4/25/2025","Larceny","Inside","None reported","Male","43","White","Unknown","700 S CLINTON ST","Southeast","Canton",39.284097,-76.569884,"Other/residential","7:00","p.m."
"705","4/25/2025","Larceny from auto","Outside","None reported","Male","64","Black or African American","Not Hispanic or Latino","1700 EDMONDSON AVE","Western","Harlem Park",39.295313,-76.644251,"Street","7:00","p.m."
"706","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3800 BOSTON ST","Southeast","Brewers Hill",39.277208,-76.564244,"Grocery/confection","7:19","p.m."
"707","4/25/2025","Larceny","Inside","None reported","Male","57","Black or African American","Not Hispanic or Latino","1500 N ELLAMONT ST","Northwest","Rosemont",39.304689,-76.670598,"Other/residential","7:25","p.m."
"708","4/25/2025","Larceny","Inside","None reported","Male","36","White","Unknown","3400 BOSTON ST","Southeast","Canton Industrial Area",39.276966,-76.568337,"Unknown","8:00","p.m."
"709","4/25/2025","Larceny from auto","Outside","None reported","Male","73","Black or African American","Unknown","700 N ARLINGTON AVE","Western","Harlem Park",39.296828,-76.635656,"Shed/garage","8:00","p.m."
"710","4/25/2025","Larceny","Outside","None reported","Female","24","Black or African American","Not Hispanic or Latino","1500 E NORTHERN PKWY","Northeast","Loch Raven",39.366112,-76.585458,"Gas station","8:00","p.m."
"711","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3300 ANNAPOLIS RD","Southern","Cherry Hill",39.249588,-76.639511,"Specialty store","8:40","p.m."
"712","4/25/2025","Larceny","Inside","None reported","Female","29","White","Not Hispanic or Latino","100 N LINWOOD AVE","Southeast","Patterson Park Neighborhood",39.293791,-76.576211,"Other/residential","9:00","p.m."
"713","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3500 BOSTON ST","Southeast","Canton Industrial Area",39.277021,-76.566929,"Wholesaler/store","9:15","p.m."
"714","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","6600 BELAIR RD","Northeast","Cedmont",39.354416,-76.530981,"Office building","9:25","p.m."
"715","4/25/2025","Larceny","Inside","Personal weapons","Female","19","Black or African American","Not Hispanic or Latino","1500 MONTPELIER ST","Eastern","Coldstream Homestead Montebello",39.320907,-76.597098,"Other/residential","9:31","p.m."
"716","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1000 FLEET ST","Central","Harbor East",39.284199,-76.600223,"Wholesaler/store","9:40","p.m."
"717","4/25/2025","Larceny from auto","Outside","None reported","Male","28","White","Not Hispanic or Latino","100 E 23RD ST","Eastern","Barclay",39.315392,-76.615156,"Street","9:58","p.m."
"718","4/25/2025","Larceny from auto","Outside","None reported","Female","40","None reported","Unknown","1500 E 33RD ST","Eastern","Coldstream Homestead Montebello",39.328252,-76.594969,"Street","11:30","p.m."
"719","4/26/2025","Larceny","Inside","None reported","Female","45","Black or African American","Not Hispanic or Latino","3500 OLD YORK RD","Northern","Waverly",39.331894,-76.607874,"Other/residential","12:00","a.m."
"720","4/26/2025","Larceny","Outside","None reported","Male","29","White","Not Hispanic or Latino","500 WASHINGTON BLVD","Central","Downtown West",39.285732,-76.622218,"Stadium","1:00","a.m."
