"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"294","4/10/2025","Auto theft","Inside","None reported","Female","44","Asian","Unknown","6000 PRESCOTT AVE","Northern","Lake Evesham",39.366216,-76.612657,"Other/residential","3:10","a.m."
"295","4/10/2025","Auto theft","Outside","Personal weapons","Male","35","None reported","Hispanic or Latino","1000 WOODSON RD","Northeast","Lake Walker",39.371428,-76.602263,"Street","3:30","a.m."
"296","4/10/2025","Auto theft","Outside","None reported","Male","38","Black or African American","Unknown","1100 SHIELDS PL","Western","Upton",39.297888,-76.630447,"Street","5:30","a.m."
"297","4/10/2025","Auto theft","Outside","None reported","Female","21","Black or African American","Not Hispanic or Latino","1600 DARLEY AVE","Eastern","Darley Park",39.314737,-76.595016,"Street","10:45","a.m."
"298","4/10/2025","Auto theft","Inside","None reported","Female","75","Black or African American","Not Hispanic or Latino","2000 BRADDISH AVE","Western","Walbrook",39.310825,-76.661356,"Other/residential","4:00","p.m."
"299","4/10/2025","Auto theft","Inside","None reported","Female","21","White","Unknown","400 KENNETH SQ","Northern","Lake Evesham",39.366241,-76.610388,"Other/residential","4:45","p.m."
"300","4/10/2025","Auto theft","Outside","None reported","Male","61","Black or African American","Unknown","2200 BROOKFIELD AVE","Western","Reservoir Hill",39.313092,-76.633233,"Street","7:00","p.m."
"301","4/10/2025","Auto theft","Outside","None reported","Male","61","Black or African American","Not Hispanic or Latino","4400 MORAVIA RD","Northeast","Frankford",39.32906,-76.558539,"Street","10:00","p.m."
"302","4/11/2025","Auto theft","Outside","None reported","Male","22","White","Not Hispanic or Latino","100 W LANVALE ST","Western","Bolton Hill",39.306365,-76.622576,"Street","2:00","a.m."
"303","4/11/2025","Auto theft","Inside","None reported","Female","45","Black or African American","Unknown","3600 MARY AVE","Northeast","Hamilton",39.350472,-76.549012,"Other/residential","2:30","a.m."
"304","4/11/2025","Auto theft","Outside","None reported","None reported","None reported","None reported","None Reported","3100 E OLIVER ST","Eastern","Berea",39.308339,-76.573848,"Street","3:00","a.m."
"305","4/11/2025","Auto theft","Outside","None reported","Female","25","Black or African American","Not Hispanic or Latino","500 BAYVIEW BLVD","Southeast","Greektown",39.28661,-76.548523,"Shed/garage","3:22","a.m."
"306","4/11/2025","Auto theft","Outside","None reported","Male","30","Black or African American","Not Hispanic or Latino","2600 KENNEDY AVE","Eastern","Coldstream Homestead Montebello",39.320838,-76.596734,"Street","4:01","a.m."
"307","4/11/2025","Auto theft","Outside","None reported","Male","32","None reported","Not Hispanic or Latino","2700 N CALVERT ST","Northern","Charles Village",39.320836,-76.614337,"Street","5:30","a.m."
"308","4/11/2025","Auto theft","Outside","None reported","Male","32","White","Hispanic or Latino","2600 WEGWORTH LN","Southern","Lakeland",39.254567,-76.644957,"Street","5:35","a.m."
"309","4/11/2025","Auto theft","Outside","None reported","Male","27","None reported","Hispanic or Latino","3400 E LOMBARD ST","Southeast","Baltimore Highlands",39.291386,-76.569266,"Street","8:00","a.m."
"310","4/11/2025","Auto theft","Inside","None reported","Male","41","Black or African American","Not Hispanic or Latino","4500 PIMLICO RD","Northern","Central Park Heights",39.342909,-76.667156,"Other/residential","2:15","p.m."
"311","4/11/2025","Auto theft","Outside","None reported","Male","35","White","Not Hispanic or Latino","4200 CURTIS AVE","Southern","Curtis Bay",39.227608,-76.587125,"Street","3:30","p.m."
"312","4/11/2025","Auto theft","Outside","None reported","Male","45","Black or African American","Unknown","7 W CROSS ST","Southern","Federal Hill",39.276722,-76.614735,"Street","6:30","p.m."
